"supplier_dim_id","bk_supplier_id","name","phone_number","address"
1,1,AutoParts Inc.,+1234567890,"123 Main Street"
2,2,CarTech Solutions,+1987654321,"456 Elm Street"
3,3,DriveTech Components,+1122334455,"789 Oak Street"
4,4,Speedy Parts Supply,+1555666777,"321 Pine Street"
5,5,Gearhead Enterprises,+1444333222,"987 Maple Street"
6,6,AutoAccessories Direct,+1789456123,"654 Birch Street"
7,7,Mechanic’s Choice Parts,+1888777666,"101 Cedar Street"
8,8,DriveTrain Depot,+1999888777,"202 Spruce Street"
9,9,CarCraft Components,+1223344556,"303 Walnut Street"
10,10,ProParts Warehouse,+1333455667,"404 Chestnut Street"
11,11,SpeedTech Supplies,+1777888999,"505 Sycamore Street"
12,12,AutoGear Emporium,+1555433221,"606 Poplar Street"
13,13,AutoTech Accessories,+1999444666,"707 Pineapple Street"
14,14,TransMission Masters,+1666777888,"808 Orange Street"
15,15,RoadRunner Parts,+1888999777,"909 Lemon Street"
16,16,DriveSafe Distributors,+1222333111,"1001 Grape Street"
17,17,AutoZone Wholesale,+1888777555,"1111 Cherry Street"
18,18,GearUp Motors,+1999888222,"1212 Peach Street"
19,19,CarCare Central,+1777888111,"1313 Plum Street"
20,20,SpeedyWheel Enterprises,+1555666999,"1414 Olive Street"
21,21,AutoArmor Supplies,+1444222111,"1515 Mango Street"
22,22,ProMech Parts,+1222111222,"1616 Banana Street"
23,23,DriveLine Direct,+1999777444,"1717 Apple Street"
24,24,AutoSolutions Inc.,+1888222333,"1818 Watermelon Street"
25,25,TransTech Distributors,+1777555444,"1919 Kiwi Street"
26,26,CarPart Pros,+1555999888,"2020 Raspberry Street"
27,27,GearMaster Solutions,+1444666999,"2121 Blueberry Street"
28,28,SpeedyFix Parts,+1222444111,"2222 Blackberry Street"
29,29,AutoWorks Warehouse,+1999666222,"2323 Strawberry Street"
30,30,DriveRight Distributors,+1888111333,"2424 Cranberry Street"
31,31,CarZone Wholesale,+1777222333,"2525 Gooseberry Street"
32,32,ProDrive Parts,+1555333888,"2626 Cranberry Street"
33,33,TransPart Express,+1444777222,"2727 Watermelon Street"
34,34,SpeedyShift Enterprises,+1222888111,"2828 Kiwi Street"
35,35,AutoMax Supplies,+1999555777,"2929 Pineapple Street"
36,36,GearTech Direct,+1888666111,"3030 Banana Street"
37,37,CarCraft Components,+1777333444,"3131 Raspberry Street"
38,38,DriveTrain Depot,+1555222777,"3232 Blueberry Street"
39,39,AutoZone Wholesale,+1444888666,"3333 Blackberry Street"
40,40,TransMission Masters,+1222999555,"3434 Strawberry Street"
41,41,RoadRunner Parts,+1999222111,"3535 Cranberry Street"
42,42,DriveSafe Distributors,+1888000444,"3636 Gooseberry Street"
43,43,AutoArmor Supplies,+1777111777,"3737 Mango Street"
